id,coin,symbol,setup,side,open_ts,close_ts,entry_px,exit_px,qty,realized_pct,realized_usd,exit_reason,modeled_cost_usd,net_usd,max_path_gap_seconds,gap_flagged
1,5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,REPLAY,dynamic_scalper,LONG,1789511227.3729925,1789514111.5450497,0.011986194978167528,0.013226628212585606,83.42931195608516,0.10348849127496162,0.10348849127496162,trail_stop,0.008413953965099847,0.09507453730986178,480.55428075790405,True
2,5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,REPLAY,dynamic_scalper,LONG,1789515433.0472507,1789520299.6593482,0.0125655535958154,0.011230742113558926,79.58264571272224,-0.10622782928569063,-0.10622782928569063,stop_loss,0.007575088682857237,-0.11380291796854787,659.6789333820343,True
3,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,REPLAY,dynamic_scalper,LONG,1789511587.7157497,1789522822.6466677,0.17009600895372826,0.15282763461464005,5.879032707181467,-0.10152133753935266,-0.10152133753935266,stop_loss,0.0075939146498425905,-0.10911525218919525,239.80011796951294,False
4,5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,REPLAY,dynamic_scalper,LONG,1789523183.2156699,1789525586.1237524,0.011023289939029896,0.012335805499170864,90.71701874222906,0.11906749866877542,0.11906749866877542,trail_stop,0.008476269994675104,0.11059122867410032,240.52065992355347,False
5,5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,REPLAY,dynamic_scalper,LONG,1789529671.1890502,1789532554.8967872,0.010406208417424402,0.009305087029017339,96.09648009024846,-0.10581388957800608,-0.10581388957800608,stop_loss,0.007576744441687976,-0.11339063401969406,480.67667150497437,True
6,5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,REPLAY,dynamic_scalper,LONG,1789534717.8472414,1789538803.0831778,0.009281591673931819,0.010272003645634142,107.74014146825587,0.10670712594306253,0.10670712594306253,trail_stop,0.00842682850377225,0.09828029743929029,600.7072777748108,True
7,5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,REPLAY,dynamic_scalper,LONG,1789539884.5676875,1789540425.5695298,0.011255634582363113,0.012224460059584932,80.16918125047319,0.08607470952725382,0.0776699452834721,trail_stop,0.007529519852514388,0.0701404254309577,180.22340512275696,False
8,5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,REPLAY,dynamic_scalper,LONG,1789542411.4845822,1789547887.0458972,0.011926897777334177,0.010432079767839485,64.05735296625043,-0.1253316694250065,-0.09575408485450937,stop_loss,0.005729027666302628,-0.10148311252081199,1084.1510155200958,True
9,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,REPLAY,dynamic_scalper,LONG,1789511347.406603,1789552460.6100132,0.2164559868947302,0.237745464818933,4.61987683660759,0.09835476592549308,0.09835476592549308,trail_stop,0.008393419063701973,0.08996134686179111,961.2044327259064,True
10,5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,REPLAY,dynamic_scalper,LONG,1789550053.585301,1789561719.132556,0.009775257362189222,0.010803544674904296,102.29909688802756,0.10519286343216883,0.10519286343216883,trail_stop,0.008420771453728675,0.09677209197844015,1203.0418376922607,True
