mint,ticker,decimals,entry_usd,qty,opened_ts,peak_usd,trough_usd,last_price,last_price_ts,mark_age_seconds,unrealized_usd
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,REPLAY,0,0.13734570344570843,7.280897581155798,1789582024.7233791,0.146294035524972,0.13456587645675802,0.14462618524593165,1789651467.7773879,359.84983086586,0.053008442328894095
B5WTLaRwaUQpKk7ir1wniNB6m5o8GgMrimhKMYan2R6B,REPLAY,0,0.0007797063597842616,1282.5341071691294,1789651827.6272187,0.0007797063597842616,0.0007797063597842616,0.0007797063597842616,1789651827.6272187,0.0,0.0
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,REPLAY,0,0.02390176560201001,41.83791342660918,1789521741.4575672,0.02423022995358408,0.022370152897325805,0.02267205679601753,1789644049.028205,7778.599013805389,-0.051448450565052345
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,REPLAY,0,2.5100934252240954e-06,398391.5458886644,1789581784.521368,2.718644686776939e-06,2.5100934252240954e-06,2.6884203281882184e-06,1789651707.734463,119.89275574684143,0.0710439305454148
Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,REPLAY,0,0.2671479605746652,3.743243998003533,1789627089.0270352,0.2771624544041348,0.2516208961752013,0.2560585531346464,1789651827.6272187,0.0,-0.041510357841266075
H74CYmXgMkYHYuSRsZt6RJb4NYp2u72Vw8BS5huApump,REPLAY,0,0.0021453903561764647,466.1156405038613,1789536039.2449687,0.002419491314136844,0.0021453903561764647,0.0023795775661163885,1789594881.3908465,56946.23637223244,0.10915832135895982
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,REPLAY,0,0.21401597590452917,4.6725483729592785,1789559075.4963405,0.2274750180733812,0.20732588552076223,0.22460805678420284,1789651707.734463,119.89275574684143,0.0494920102805723
METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,REPLAY,0,0.2038143173704413,4.90642665786063,1789539884.5676875,0.21525214479983074,0.19295904398986474,0.2151225758502802,1789650866.6462138,960.9810049533844,0.055483140859459996
PerPsCe2SJ7Q25CN4R5TTX4fmBdmknE2hQmqCt96fHL,REPLAY,0,0.006506224870833791,153.69896058816167,1789635865.7461252,0.006990457471687179,0.006046786890729254,0.006191846150263586,1789641277.002424,10550.624794721603,-0.04831968258267659
SV151D5pjygAKA8aJJcKzm4wFnRX5G92Fye94jQJk7g,REPLAY,0,0.3279596346909439,3.0491557320533063,1789592598.3897378,0.34441685150428625,0.3142931698244128,0.3142931698244128,1789593439.5720067,58388.055212020874,-0.04167117968468847
