index,equity
0,24.0
1,24.0
2,24.0
3,24.0
4,24.0
5,24.0
6,24.0
7,24.0
8,24.0
9,24.0
10,24.0
11,24.0
12,24.0
13,24.0
14,23.9712
15,23.863619774974428
16,23.957752471871803
17,23.663129355608593
18,24.115455301738834
19,24.17535792703716
20,24.077557722468462
21,24.067777702011593
22,24.257876849642006
23,24.228767397422438
24,24.22169521475748
25,24.19262918049977
26,24.065613235601585
27,24.103841335522397
28,24.13836994190249
29,24.30124137819737
30,24.30124137819737
31,24.30124137819737
32,24.30124137819737
33,24.30124137819737
34,24.30124137819737
35,24.272079888543534
36,24.236310376603605
37,24.294631949105934
38,24.294631949105934
39,24.294631949105934
40,24.294631949105934
41,24.294631949105934
42,24.294631949105934
43,24.294631949105934
44,24.294631949105934
45,24.294631949105934
46,24.294631949105934
47,24.294631949105934
48,24.294631949105934
49,24.294631949105934
50,24.294631949105934
51,24.294631949105934
52,24.265478390767004
53,24.332175227104656
54,24.3515077815231
55,24.3515077815231
56,24.32228597218527
57,24.34503916177995
58,23.96302508384825
59,24.002543781565322
60,24.14026045542785
61,24.049247697049136
62,24.066013205171533
63,23.997753636387497
64,23.942666966842488
65,24.045655088165766
66,23.980988128265103
67,23.939074357959118
68,23.91272855948107
69,23.940271894253573
70,23.860036962524973
71,23.910333486892156
72,23.929494067603464
73,23.93893544374896
74,23.91020872121646
75,23.897718841854505
76,23.84775932440668
77,23.875237059002984
78,23.891548841449698
79,23.86287898283996
80,23.899527070823837
81,23.8922227277705
82,23.863552060497174
83,23.860054895862824
84,23.83142282998779
85,23.832701413991177
86,23.720186021693156
87,23.652421069513665
88,23.587213285340944
89,23.69461434162542
90,23.67671416557801
91,23.78155805385571
92,23.790508141879418
93,23.912423683770342
94,23.912423683770342
95,23.912423683770342
96,23.912423683770342
97,23.912423683770342
98,23.883728775349816
99,23.787367852704186
100,23.805598297529034
101,23.727467819708252
102,23.63110689706262
103,23.646732992626774
104,23.597250356673612
105,23.602459055195
106,23.58813513426119
107,23.70012215247098
108,23.753985303880626
109,23.753985303880626
110,23.753985303880626
111,23.753985303880626
112,23.753985303880626
113,23.753985303880626
114,23.753985303880626
115,23.753985303880626
116,23.753985303880626
117,23.753985303880626
118,23.753985303880626
119,23.72548052151597
120,23.773103737265338
121,23.74457601278062
122,23.693697641344237
123,23.668910742439333
124,23.625859812762396
125,23.522798496263057
126,23.54758539516796
127,23.698915935850536
128,23.648037564414153
129,23.52410306988963
130,23.60107291385749
131,23.569763146819717
132,23.535844232528795
133,23.551499116047683
134,23.548889968794533
135,23.556341693349523
136,23.556341693349523
137,23.556341693349523
138,23.528074083317502
139,23.536225368665473
140,23.435692849373833
141,23.507695869947575
142,23.502261679715595
143,23.57018905761535
144,23.50362022727359
145,23.491393299251634
146,23.529432630875498
147,23.65282135428285
148,23.65282135428285
149,23.65282135428285
150,23.65282135428285
151,23.65282135428285
152,23.65282135428285
153,23.65282135428285
154,23.65282135428285
155,23.65282135428285
156,23.62443796865771
157,23.677803129897928
158,23.655909730414763
159,23.614859606383824
160,23.683276479768722
161,23.717463023061683
162,23.717463023061683
163,23.717463023061683
164,23.717463023061683
165,23.717463023061683
166,23.717463023061683
167,23.717463023061683
168,23.717463023061683
169,23.717463023061683
170,23.717463023061683
171,23.717463023061683
172,23.717463023061683
173,23.717463023061683
174,23.689002067434007
175,23.695398076415316
176,23.744744564907915
177,23.716250871430027
178,23.68195744120234
179,23.641313375747306
180,23.629882232338076
181,23.59558880211039
182,23.460955335290592
183,23.553674609609885
184,23.593048548019453
185,23.601847988190467
