index,equity
0,24.0
1,24.0
2,23.9712
3,24.06482453554415
4,24.06482453554415
5,24.035946746101494
6,23.980295687772884
7,23.94125652993894
8,23.714552946717635
9,23.948931180300615
10,23.948931180300615
11,23.948931180300615
12,23.920192462884252
13,23.93832358094535
14,23.93832358094535
15,23.93832358094535
16,23.93832358094535
17,23.90959759264822
18,23.95502207515422
19,23.95502207515422
20,23.926276048664036
21,23.91650813152104
22,23.91650813152104
23,23.91650813152104
24,23.91650813152104
25,23.887808321763217
26,23.88946013288154
27,23.85874137686023
28,23.565581884204235
29,23.66457359321474
30,23.66457359321474
31,23.66457359321474
32,23.66457359321474
33,23.66457359321474
34,23.66457359321474
35,23.66457359321474
36,23.66457359321474
37,23.66457359321474
38,23.66457359321474
39,23.66457359321474
40,23.66457359321474
41,23.66457359321474
42,23.66457359321474
43,23.636176104902884
44,23.669986077098507
45,23.669986077098507
46,23.669986077098507
47,23.669986077098507
48,23.669986077098507
49,23.669986077098507
50,23.64158209380599
51,23.638659703590232
52,23.638659703590232
53,23.638659703590232
54,23.638659703590232
55,23.638659703590232
56,23.638659703590232
57,23.638659703590232
58,23.638659703590232
59,23.638659703590232
60,23.638659703590232
61,23.610293311945924
62,23.628588944648886
63,23.628588944648886
64,23.628588944648886
65,23.600234637915307
66,23.542906756542028
67,23.482516245969936
68,23.474110485812457
69,23.474110485812457
70,23.474110485812457
71,23.474110485812457
72,23.474110485812457
73,23.474110485812457
74,23.474110485812457
75,23.44594155322948
76,23.427915465911877
77,23.40834238824781
78,23.40834238824781
79,23.40834238824781
80,23.40834238824781
81,23.380252377381915
82,23.389781119324976
83,23.32901845447005
84,23.33827623692658
85,23.297804824819785
86,23.269847459030004
87,23.306204501234177
88,23.306204501234177
89,23.306204501234177
90,23.278237055832694
91,23.263836304083924
92,23.207535754158265
93,23.31928244217204
94,23.31928244217204
95,23.31928244217204
96,23.31928244217204
97,23.31928244217204
98,23.31928244217204
99,23.31928244217204
100,23.31928244217204
101,23.31928244217204
102,23.31928244217204
103,23.291299303241434
104,23.29966181672686
105,23.29966181672686
106,23.27170222254679
107,23.279827913014692
108,23.279827913014692
109,23.279827913014692
110,23.279827913014692
111,23.279827913014692
112,23.279827913014692
113,23.279827913014692
114,23.279827913014692
115,23.251892119519074
116,23.230401719802042
117,23.228825757156127
118,23.153537723480795
119,23.245734117114825
120,23.245734117114825
121,23.217839236174285
122,23.215994045378107
123,23.233662154631322
124,23.233662154631322
125,23.233662154631322
126,23.233662154631322
127,23.233662154631322
128,23.205781760045767
129,23.156122415030634
130,23.109147358935243
131,23.106232796373178
132,23.106232796373178
133,23.07850531701753
134,23.01864077301287
135,22.916467412368032
136,22.921830225085056
137,22.921830225085056
138,22.921830225085056
139,22.921830225085056
140,22.921830225085056
141,22.921830225085056
142,22.921830225085056
143,22.921830225085056
144,22.921830225085056
145,22.894324028814953
146,22.876653813935135
147,22.876653813935135
148,22.876653813935135
149,22.876653813935135
150,22.84920182935841
151,22.913378717136116
152,22.913378717136116
153,22.913378717136116
154,22.913378717136116
155,22.88588266267555
156,22.861879813674058
157,22.854969354097594
158,22.854969354097594
159,22.827543390872677
160,22.841394642798456
161,22.841394642798456
162,22.841394642798456
163,22.841394642798456
164,22.8139849692271
165,22.80386124810567
166,22.764964845902284
167,22.753427977638705
168,22.726123864065535
169,22.707233246343137
170,22.707414017804595
171,22.690421500427508
172,22.603651198927494
173,22.670616359881592
174,22.670616359881592
175,22.643411620249733
176,22.657443087345293
177,22.64202940496964
178,22.64202940496964
179,22.64202940496964
180,22.64202940496964
