index,equity
0,24.0
1,24.0
2,24.0
3,24.0
4,24.0
5,24.0
6,24.0
7,24.0
8,24.0
9,24.0
10,24.0
11,24.0
12,24.0
13,24.0
14,24.0
15,24.0
16,24.0
17,24.0
18,24.0
19,24.0
20,24.0
21,24.0
22,24.0
23,24.0
24,24.0
25,24.0
26,24.0
27,24.0
28,24.0
29,24.0
30,24.0
31,24.0
32,24.0
33,24.0
34,24.0
35,24.0
36,24.0
37,24.0
38,24.0
39,24.0
40,24.0
41,24.0
42,24.0
43,23.9712
44,23.991282471962982
45,24.0616878224453
46,24.0616878224453
47,24.0616878224453
48,24.0616878224453
49,24.0616878224453
50,24.0616878224453
51,24.0616878224453
52,24.0616878224453
53,24.0616878224453
54,24.0616878224453
55,24.0616878224453
56,24.0616878224453
57,24.032813797058367
58,24.04260849375973
59,23.980149894652207
60,23.989666069172493
61,23.97659873684342
62,23.944313374019725
63,24.01006781893671
64,23.939857019122424
65,23.45217498536946
66,23.424032375387018
67,23.409541429428177
68,23.352888260159062
69,23.49364331885824
70,23.58172650914047
71,23.531255484051748
72,23.604031685343326
73,23.54324884376171
74,23.569807335160675
75,23.592211425670417
76,23.66631288084566
77,23.66631288084566
78,23.66631288084566
79,23.66631288084566
80,23.66631288084566
81,23.66631288084566
82,23.66631288084566
83,23.66631288084566
84,23.66631288084566
85,23.66631288084566
86,23.66631288084566
87,23.637913305388643
88,23.657364580226208
89,23.657364580226208
90,23.657364580226208
91,23.657364580226208
92,23.628975742729935
93,23.59910040278028
94,23.570781482296944
95,23.665582749030335
96,23.665582749030335
97,23.665582749030335
98,23.665582749030335
99,23.665582749030335
100,23.665582749030335
101,23.665582749030335
102,23.665582749030335
103,23.665582749030335
104,23.665582749030335
105,23.6371840497315
106,23.58899097700636
107,23.614193986977412
108,23.567795860328264
109,23.547535099141776
110,23.486998698606428
111,23.38367865187631
112,23.416504035594706
113,23.866851580165477
114,23.866851580165477
115,23.866851580165477
116,23.866851580165477
117,23.866851580165477
118,23.866851580165477
119,23.866851580165477
120,23.866851580165477
121,23.866851580165477
122,23.866851580165477
123,23.866851580165477
124,23.866851580165477
125,23.866851580165477
126,23.866851580165477
127,23.866851580165477
128,23.866851580165477
129,23.866851580165477
130,23.866851580165477
131,23.866851580165477
132,23.866851580165477
133,23.866851580165477
134,23.866851580165477
135,23.866851580165477
136,23.866851580165477
137,23.866851580165477
138,23.866851580165477
139,23.866851580165477
140,23.83821135826928
141,23.827633136001214
142,23.786990492550224
143,23.803321783069343
144,23.686474183147748
145,23.667080775656295
146,23.667266358503102
147,23.649821570903136
148,23.56074180443521
149,23.657291280487165
150,23.672578667492985
151,23.493537616034804
152,23.507595516680524
153,23.519403225308693
154,23.52480832572198
155,23.54777420301449
156,23.57542604718891
157,23.53478340373792
158,23.505391720374675
159,23.421044316500364
160,23.452732587592855
161,23.457232971627956
162,23.43913864406416
163,23.469186362790868
164,23.44102333915552
165,23.450358371391196
166,23.42221794134553
167,23.377595684926288
168,23.320563398883046
169,23.342813333652707
170,23.35884601492237
171,23.363668057991266
172,23.42199764496167
173,23.4419738273214
174,23.413843458728614
175,23.340820080170694
176,23.43944488687955
177,23.42751995911071
178,23.42751995911071
179,23.42751995911071
180,23.42751995911071
181,23.42751995911071
182,23.42751995911071
183,23.42751995911071
184,23.42751995911071
185,23.42751995911071
186,23.42751995911071
187,23.42751995911071
188,23.42751995911071
189,23.399406935159778
190,23.358035192102673
191,23.28490678287873
192,23.296087673817283
193,23.274557730653328
194,23.303867812369717
195,23.303500824702148
196,23.341178225239073
197,23.373130618161944
