ts,gross_marked_equity_usd,net_marked_equity_usd,paid_costs_usd,estimated_open_liquidation_cost_usd,open_positions,closed_trades,max_open_mark_age_seconds,buy_hold_gross_usd,buy_hold_net_liquidation_usd
1789510988.9406805,10.0,10.0,0.0,0.0,0,0,0,10.0,9.92
1789511107.391148,10.0,10.0,0.0,0.0,0,0,0,9.99674714742993,9.91676015884021
1789511227.3729925,10.0,9.996,0.004,0.004,1,0,0.0,10.07722828138216,9.99691936825663
1789511347.406603,9.998656104083597,9.990656104083598,0.008,0.007994624416334393,2,0,0.0,10.08741926148005,10.00706958443413
1789511467.915485,9.996642338513984,9.988642338513985,0.008,0.00798656935405594,2,0,120.50888180732727,10.108697132610288,10.028262344079847
1789511587.7157497,9.996103809329698,9.984103809329698,0.012,0.01198441523731879,3,0,240.30914664268494,10.120773502673678,10.040290408662983
1789511707.867716,9.98619815742165,9.97419815742165,0.012,0.0119447926296866,3,0,360.4611129760742,10.11267762785505,10.03222691734363
1789511827.9608839,10.01374777799339,10.001747777993389,0.012,0.012054991111973556,3,0,0.0,10.174470324735754,10.09377244343681
1789511948.182555,10.01493542555342,10.002935425553419,0.012,0.012059741702213682,3,0,0.0,10.17743937134941,10.096729613864012
1789512068.3625994,10.024472732014317,10.012472732014317,0.012,0.01209789092805727,3,0,0.0,10.20169162411815,10.120884857621677
1789512189.197036,10.020645213819039,10.008645213819038,0.012,0.012082580855276156,3,0,0.0,10.191905324215858,10.111137702918995
1789512309.0791373,10.026752712669461,10.01475271266946,0.012,0.012107010850677844,3,0,0.0,10.207385908639575,10.126556365005015
1789512429.60164,10.026351355251467,10.014351355251467,0.012,0.01210540542100587,3,0,0.0,10.206421525019996,10.125595838919915
1789512549.465666,10.049959372183043,10.037959372183042,0.012,0.012199837488732176,3,0,0.0,10.26635125075996,10.18528584575692
1789512669.4574769,10.03050549978213,10.01850549978213,0.012,0.01212202199912852,3,0,119.99181079864502,10.216973266566026,10.136105373499761
1789512789.740748,10.071356198841286,10.059356198841286,0.012,0.012285424795365147,3,0,240.27508187294006,10.320646488001813,10.239363902049806
1789512909.854064,10.083316670325123,10.071316670325123,0.012,0.012333266681300496,3,0,360.3883979320526,10.350951878272632,10.26954807075954
1789513030.1577842,10.138065661365857,10.126065661365857,0.012,0.012552262645463434,3,0,0.0,10.490072093422082,10.408111805048394
1789513150.3013637,10.124299126339512,10.112299126339511,0.012,0.012497196505358051,3,0,0.0,10.455091621179388,10.373271254694671
1789513270.3406062,10.15895431758581,10.14695431758581,0.012,0.012635817270343241,3,0,0.0,10.54301346077817,10.460841406935057
1789513390.2011974,10.146001326540938,10.134001326540938,0.012,0.012584005306163753,3,0,119.860591173172,10.51009093559733,10.42805057185494
1789513510.3711686,10.139737085695224,10.127737085695223,0.012,0.012558948342780894,3,0,240.03056240081787,10.51008853971299,10.428048185554138
1789513630.423017,10.131268971347803,10.119268971347802,0.012,0.012525075885391214,3,0,0.0,10.490220040826907,10.408259160663599
1789513750.5115407,10.141825185218876,10.129825185218875,0.012,0.012567300740875503,3,0,0.0,10.51433814808495,10.43228079549261
1789513870.699735,10.149307288122186,10.137307288122186,0.012,0.012597229152488744,3,0,120.18819427490234,10.533401116314527,10.451267511849268
1789513991.6247876,10.151135130005377,10.139135130005377,0.012,0.012604540520021513,3,0,241.1132469177246,10.538060932232481,10.455908688503552
1789514111.5450497,10.11372755880707,10.09731360484197,0.016413953965099846,0.008040956270128435,2,1,0.0,10.443191202163925,10.361418437355269
1789514231.6205945,10.120601097132843,10.104187143167742,0.016413953965099846,0.008068450423431519,2,1,0.0,10.437071884041886,10.355323596505718
1789514351.6842656,10.118420826140758,10.102006872175657,0.016413953965099846,0.008059729339463178,2,1,0.0,10.426548584750895,10.344842390411891
1789514471.91028,10.118470834692822,10.102056880727721,0.016413953965099846,0.008059929373671434,2,1,0.0,10.42421302725148,10.342516175142473
1789514592.5497856,10.11592562816842,10.099511674203319,0.016413953965099846,0.008049748547573829,2,1,0.0,10.36586255475885,10.284399104539816
1789514712.2916152,10.114693617543853,10.098279663578753,0.016413953965099846,0.008044820505075568,2,1,0.0,10.316877772805286,10.235610261714065
1789514832.541596,10.11544472990483,10.09903077593973,0.016413953965099846,0.00804782495451947,2,1,0.0,10.318781144059681,10.237506019483442
1789514952.6621668,10.13029105489589,10.11387710093079,0.016413953965099846,0.008107210254483714,2,1,0.0,10.33119855289807,10.249873758686476
1789515072.844994,10.121893672949446,10.105479718984345,0.016413953965099846,0.008073620726697933,2,1,120.18282723426819,10.30022994288333,10.219029023111798
1789515192.9223435,10.107436955839784,10.091023001874683,0.016413953965099846,0.008015793858259285,2,1,0.0,10.224526188522704,10.143628083768613
1789515312.9852352,10.124488492929904,10.108074538964804,0.016413953965099846,0.008084000006619768,2,1,0.0,10.307029166263384,10.22580104959833
1789515433.0472507,10.115773824590436,10.095359870625336,0.020413953965099846,0.012049141333261897,3,1,0.0,10.307363565686932,10.226134111424185
